key,locale,package,origin_text,text
quiz::seo.user_profile_quiz_keywords,fr,metafox/quiz,,
quiz::seo.user_profile_quiz_title,fr,metafox/quiz,Quizzes,
quiz::validation.all_the_quiz_questions_are_not_answered_yet,fr,metafox/quiz,"All the quiz questions haven't been answered yet",
quiz::validation.answer_is_required,fr,metafox/quiz,"Answer is required",
quiz::validation.number_of_answers_per_default_greater_than_or_equal_to_number,fr,metafox/quiz,"The data of the setting ""How Many Answers Per Default"" must be greater than or equal to :number.",
quiz::validation.question_is_required,fr,metafox/quiz,"Question is required.",
quiz::validation.question_max_length,fr,metafox/quiz,"Question must be at most {number} characters.",
quiz::validation.question_min_length,fr,metafox/quiz,"Question must be at least {number} characters.",
quiz::validation.the_answer_ids_are_not_valid,fr,metafox/quiz,"The answer ID are invalid",
quiz::validation.the_answers_list_must_be_unique,fr,metafox/quiz,"The answers list must be unique.",
quiz::validation.the_question_ids_are_not_valid,fr,metafox/quiz,"The question ID are invalid",
quiz::validation.the_question_list_must_be_unique,fr,metafox/quiz,"The questions list must be unique.",
quiz::validation.the_quiz_id_are_not_valid,fr,metafox/quiz,"The quiz ID is invalid",
quiz::validation.you_need_to_set_at_least_one_correct_answer_per_question,fr,metafox/quiz,"You need to set at least one correct answer per question.",
quiz::web.add_new_quiz,fr,metafox/quiz,"Add new quiz",
quiz::web.add_Quiz,fr,metafox/quiz,"Create New Quiz",
quiz::web.all_quizzes,fr,metafox/quiz,"All Quizzes",
quiz::web.contents_from_this_quiz_will_be_public_visible_after_admins_approve_it,fr,metafox/quiz,"Contents from this quiz will be public visible after admins approve it.",
quiz::web.correct_answer_percent_question,fr,metafox/quiz,"Correctly answered <result>result</result> <percent>percent</percent> questions",
quiz::web.featured_quizzes,fr,metafox/quiz,"Featured Quizzes",
quiz::web.global_search_quiz_no_result,fr,metafox/quiz,"No quizzes are found.",
quiz::web.individuals,fr,metafox/quiz,Individuals,
quiz::web.limit_reached,fr,metafox/quiz,"Limit reached",
quiz::web.my_pending_quizzes,fr,metafox/quiz,"My Pending Quizzes",
quiz::web.my_quizzes,fr,metafox/quiz,"My Quizzes",
quiz::web.name_type_quiz,fr,metafox/quiz,Quiz,
quiz::web.no_all_quiz_found,fr,metafox/quiz,"No Quizzes are found",
quiz::web.no_friend_quiz_found,fr,metafox/quiz,"No Quizzes are found",
quiz::web.no_landing_quiz_found,fr,metafox/quiz,"No Quizzes are found",
quiz::web.no_my_pending_quiz_found,fr,metafox/quiz,"No quizzes are found.",
quiz::web.no_my_quiz_found,fr,metafox/quiz,"No Quizzes are found",
quiz::web.no_pending_quiz_found,fr,metafox/quiz,"No pending Quizzes",
quiz::web.no_quiz_description,fr,metafox/quiz,"Create a new quiz to play with other people",
quiz::web.no_quiz_found,fr,metafox/quiz,"No quizzes are found.",
quiz::web.people_played_this,fr,metafox/quiz,"People who played this",
